id_empresa,status,nome_fantasia,grupo,cidade,estado,pais,latitude,longitude,coordenadas_validas,materias_primas,produtos,associada,data_ultima_atualizacao,builtup_px
20918,A,Vale do Verdão,Vale do Verdão,Maurilândia,GO,Brasil,-17.968499,-50.317196,1,Cana-de-Açúcar,Açúcar | Etanol,N,1693440000000,264
20017,A,Viterra Bioenergia - Unidade Nova Unialco,Glencane,Guararapes,SP,Brasil,-21.463056,-50.791864,1,Cana-de-Açúcar,Açúcar | Bioeletricidade | Etanol,S,1734048000000,263
20848,A,USA - Santo Antônio,Balbo,Sertãozinho,SP,Brasil,-21.119983,-47.959909,1,Cana-de-Açúcar,Açúcar | Etanol,N,1693440000000,263
22028,A,bp bioenergy - Unidade Tropical,BP Bunge Bioenergia,Edéia,GO,Brasil,-17.685819,-50.11622,1,Cana-de-Açúcar,Açúcar | Etanol,N,1729468800000,263
20000,A,Aralco Alcoazul S/A,Aralco,Araçatuba,SP,Brasil,-21.076839,-50.544233,1,Cana-de-Açúcar,Açúcar | Etanol,N,1755561600000,260
21004,A,Usina Buriti,Da Pedra,Buritizal,SP,Brasil,-20.219548,-47.65442,1,Cana-de-Açúcar,Açúcar | Etanol,N,1734048000000,259
22326,A,Usina Santa Terezinha - Unidade Terra Rica,Usaçúcar,Terra Rica,PR,Brasil,-22.788717,-52.707809,1,Cana-de-Açúcar,Açúcar | Etanol,N,1734048000000,258
20736,A,Cia Melhoramentos,CMNP - Melhoramentos,Jussara,PR,Brasil,-23.570564,-52.428246,1,Cana-de-Açúcar,Açúcar | Etanol,N,1734048000000,256
20752,A,Moreno,Moreno,Luís Antônio,SP,Brasil,-21.483616,-47.769945,1,Cana-de-Açúcar,Açúcar | Etanol,N,1693440000000,256
51762,A,Atvos - Unidade Alto Taquari,Mubadala Capital,Alto Taquari,MT,Brasil,-17.738689,-53.317779,1,Cana-de-Açúcar,Açúcar | Bioeletricidade | Crédito de Carbono | Etanol,S,1740441600000,255
22291,A,Usina Coruripe - Unidade Limeira do Oeste,Tércio Wanderley,Limeira do Oeste,MG,Brasil,-19.524285,-50.660339,1,Cana-de-Açúcar,Açúcar | Bioeletricidade | Etanol,S,1734048000000,254
20858,A,U.S.J - Unidade São João de Araras,USJ,Araras,SP,Brasil,-22.426692,-47.359178,1,Cana-de-Açúcar,Açúcar | Etanol,N,1724630400000,253
20005,A,Raízen - Parque de Bioenergia Benálcool,Raízen,Bento de Abreu,SP,Brasil,-21.227226,-50.78076,1,Cana-de-Açúcar,Bioeletricidade | Etanol,S,1754611200000,250
20825,A,Raízen - Santa Elisa,Biosev,Sertãozinho,SP,Brasil,-21.112211,-48.076343,1,Cana-de-Açúcar,Açúcar | Etanol,N,1734048000000,250
22629,A,Usina Nova Moreno,Moreno,Planalto,SP,Brasil,-20.990446,-49.894162,1,Cana-de-Açúcar,Açúcar | Etanol,N,1693440000000,249
20331,A,Usina Vertente,Tereos,Guaraci,SP,Brasil,-20.405302,-49.001647,1,Cana-de-Açúcar,Açúcar | Bioeletricidade | Etanol,S,1734048000000,249
