safra,quinzena,producao
2023/2024,2ª Jul,3691589
2023/2024,2ª Jun,2703809
2023/2024,2ª Mai,2925718
2023/2024,2ª Mar,182908
2023/2024,2ª Nov,1409380
2023/2024,2ª Out,2357525
2023/2024,2ª Set,3376439
2024/2025,1ª Abr,721807
2024/2025,1ª Ago,3117761
2024/2025,1ª Dez,356348
2024/2025,1ª Fev,7226
2024/2025,1ª Jan,10782
2024/2025,1ª Jul,2960337
2024/2025,1ª Jun,3146217
2024/2025,1ª Mai,2584027
2024/2025,1ª Mar,52801
2024/2025,1ª Nov,904323
2024/2025,1ª Out,2453533
2024/2025,1ª Set,3130051
2024/2025,2ª Abr,1852831
2024/2025,2ª Ago,3275693
2024/2025,2ª Dez,65844
2024/2025,2ª Fev,9022
2024/2025,2ª Jan,7323
2024/2025,2ª Jul,3643182
2024/2025,2ª Jun,3269140
2024/2025,2ª Mai,2711157
2024/2025,2ª Mar,211427
2024/2025,2ª Nov,1079788
2024/2025,2ª Out,1776193
2024/2025,2ª Set,2832275
2025/2026,1ª Abr,735001
2025/2026,1ª Ago,3624513
2025/2026,1ª Dez,262171
2025/2026,1ª Fev,2285
2025/2026,1ª Jan,7319
2025/2026,1ª Jul,3425553
2025/2026,1ª Jun,2452571
2025/2026,1ª Mai,2421868
2025/2026,1ª Mar,6013
2025/2026,1ª Nov,989546
2025/2026,1ª Out,2493948
2025/2026,1ª Set,3631228
2025/2026,2ª Abr,859290
2025/2026,2ª Ago,3886356
2025/2026,2ª Dez,56052
2025/2026,2ª Fev,544
2025/2026,2ª Jan,4584
2025/2026,2ª Jul,3631501
2025/2026,2ª Jun,2845831
2025/2026,2ª Mai,2959449
2025/2026,2ª Mar,178528
2025/2026,2ª Nov,725282
2025/2026,2ª Out,2073670
2025/2026,2ª Set,3155349
2026/2027,1ª Abr,677138
2026/2027,1ª Mai,2157941
2026/2027,2ª Abr,1801845
2026/2027,2ª Mai,2201381
